,season,Driver,Constructor,freq
0,2003,Michael Schumacher,Ferrari,7
1,2014,Lewis Hamilton,Mercedes,6
2,1951,Juan Manuel Fangio,Alfa Romeo,5
3,1993,Alain Prost,Renault,4
4,2013,Sebastian Vettel,Renault,4
5,1991,Ayrton Senna,Honda,3
6,1987,Nelson Piquet,Honda,3
7,1984,Niki Lauda,TAG,3
8,1969,Jackie Stewart,Ford,3
9,1960,Jack Brabham,Climax,3
10,1963,Jim Clark,Climax,2
11,1968,Graham Hill,Ford,2
12,1999,Mika Häkkinen,Mercedes,2
13,2005,Fernando Alonso,Renault,2
14,1972,Emerson Fittipaldi,Ford,2
15,1953,Alberto Ascari,Ferrari,2
16,1982,Keke Rosberg,Ford,1
17,1961,Phil Hill,Ferrari,1
18,1958,Mike Hawthorn,Ferrari,1
19,Mercedes,Mercedes,,1
20,2016,Nico Rosberg,Mercedes,1
21,2009,Jenson Button,Mercedes,1
22,1967,Denny Hulme,,1
23,2007,Kimi Räikkönen,Ferrari,1
24,1964,John Surtees,Ferrari,1
25,1980,Alan Jones,Ford,1
26,1997,Jacques Villeneuve,Renault,1
27,1996,Damon Hill,Renault,1
28,1970,Jochen Rindt,Ford,1
29,1992,Nigel Mansell,Renault,1
30,1976,James Hunt,Ford,1
31,1978,Mario Andretti,Ford,1
32,1979,Jody Scheckter,Ferrari,1
33,1950,Giuseppe Farina,Alfa Romeo,1
